Model,Developer,Release date,Android version at release,Ref.
HTC ChaCha,HTC,2011/06,"Android 2.3 ""Gingerbread""",[73]
HTC Salsa,HTC,2011/06,"Android 2.3 ""Gingerbread""",[74]
HTC Evo 3D,HTC,2011/07,"Android 2.3 ""Gingerbread""",[75]
HTC Amaze 4G,HTC,2011/10,"Android 2.3 ""Gingerbread""",[76]
HTC Explorer,HTC,2011/10,"Android 2.3 ""Gingerbread""",[77]
HTC Raider 4G,HTC,2011/10,"Android 2.3 ""Gingerbread""",[78]
HTC Evo Design 4G,HTC,2011/10,"Android 2.3 ""Gingerbread""",[79]
HTC Rezound,HTC,2011/11,"Android 2.3 ""Gingerbread""",[80]
HTC One S,HTC,2012/04,"Android 4.0 ""Ice Cream Sandwich""",[81]
HTC One V,HTC,2012/04,"Android 4.0 ""Ice Cream Sandwich""",[82]
HTC One X,HTC,2012/05,"Android 4.0 ""Ice Cream Sandwich""",[83]
HTC Evo 4G LTE,HTC,2012/05,"Android 4.0 ""Ice Cream Sandwich""",[84]
HTC Droid Incredible 4G LTE,HTC,2012/07,"Android 4.0 ""Ice Cream Sandwich""",[85]
HTC Desire X,HTC,2012/10,"Android 4.0 ""Ice Cream Sandwich""",[86]
HTC Butterfly,HTC,2013/01,"Android 4.1 ""Jelly Bean""",[87]
HTC One (M7),HTC,2013/03,"Android 4.1 ""Jelly Bean""",[88]
HTC One Mini,HTC,2013/08,"Android 4.1 ""Jelly Bean""",[89]
HTC One Max,HTC,2013/10,"Android 4.1 ""Jelly Bean""",[90]
HTC One (M8),HTC,2014/03,"Android 4.4 ""KitKat""",[91]
HTC One Mini 2,HTC,2014/05,"Android 4.4 ""KitKat""",[92]
HTC Desire Eye,HTC,2014/11,"Android 4.4 ""KitKat""",[93]
HTC Desire 620,HTC,2014/12,"Android 4.4 ""KitKat""",[94]
HTC One M9,HTC,2015/03,"Android 5.0 ""Lollipop""",[95]
HTC 10,HTC,2016/04,"Android 6.0 ""Marshmallow""",[96]
HTC U Ultra,HTC,2017/02,"Android 7.0 ""Nougat""",[97]
HTC U11,HTC,2017/06,"Android 7.0 ""Nougat""",[98]
HTC U11+/11 Life,HTC,2017/11,"Android 8.0 ""Oreo""",[99][100]
HTC U11 EYEs,HTC,2018/01,"Android 8.0 ""Oreo""",[101]
HTC U12+,HTC,2018/06,"Android 8.0 ""Oreo""",[102]
HTC U12 life,HTC,2018/08,"Android 8.0 ""Oreo""",[103]
HTC Desire 12/12+,HTC,2018/09,"Android 8.0 ""Oreo""",[104][105]
HTC Exodus 1,HTC,2018/12,"Android 8.0 ""Oreo""",[106]
HTC Desire 12s,HTC,2018/12,"Android 8.0 ""Oreo""",[107]
HTC Desire 19+,HTC,2019/06,"Android 9.0 ""Pie""",[108]
HTC U19e,HTC,2019/06,"Android 9.0 ""Pie""",[109]
HTC Wildfire X,HTC,2019/08,"Android 9.0 ""Pie""",[110]
HTC Exodus 1s,HTC,2019/10,"Android 8.1 ""Oreo""",[111]
HTC Desire 19s,HTC,2019/11,"Android 9.0 ""Pie""",[112]
HTC Wildfire R70,HTC,2020/02,"Android 9.0 ""Pie""",[113]
HTC Desire 20 Pro,HTC,2020/06,Android 10,[114]
HTC U20 5G,HTC,2020/06,Android 10,[115]
HTC Wildfire E2,HTC,2020/08,Android 10,[116]
Honor U8860,Huawei,2011/09,"Android 2.3 ""Gingerbread""",[117]
Honor 2,Huawei,2012/10,"Android 4.0 ""Ice Cream Sandwich""",[118]
Honor 3,Huawei,2013/08,"Android 4.1 ""Jelly Bean""",[119]
Honor 3C,Huawei,2013/12,"Android 4.1 ""Jelly Bean""",[120]
Honor 3X,Huawei,2013/12,"Android 4.4 ""KitKat""",[121]
Honor 3X Pro,Huawei,2014/05,"Android 4.1 ""Jelly Bean""",[122]
Honor 3C 4G,Huawei,2014/06,"Android 4.4 ""KitKat""",[123]
Honor 6,Huawei,2014/08,"Android 4.4 ""KitKat""",[124]
Honor 3C Play,Huawei,2014/09,"Android 4.1 ""Jelly Bean""",[125]
Honor 4 Play,Huawei,2014/09,"Android 4.4 ""KitKat""",[126]
Honor Holly,Huawei,2014/10,"Android 4.4 ""KitKat""",[127]
Honor 4X,Huawei,2014/10,"Android 4.4 ""KitKat""",[128]
Honor 6 Plus,Huawei,2014/12,"Android 4.4 ""KitKat""",[129]
Honor 4C,Huawei,2015/04,"Android 4.4 ""KitKat""",[130]
Honor Bee,Huawei,2015/05,"Android 4.4 ""KitKat""",[131]
Honor 7,Huawei,2015/07,"Android 5.0 ""Lollipop""",[132]
Honor 7i,Huawei,2015/08,"Android 5.0 ""Lollipop""",[133]
Honor 5X,Huawei,2015/11,"Android 5.0 ""Lollipop""",[134]
Honor Holly 2 Plus,Huawei,2016/01,"Android 5.0 ""Lollipop""",[135]
Honor 5c,Huawei,2016/04,"Android 6.0 ""Marshmallow""",[136]
Honor V8,Huawei,2016/05,"Android 6.0 ""Marshmallow""",[137]
Honor 5A,Huawei,2016/06,"Android 5.0 ""Lollipop""",[138]
Honor 8,Huawei,2016/07,"Android 6.0 ""Marshmallow""",[139]
Honor Note 8,Huawei,2016/08,"Android 6.0 ""Marshmallow""",[140]
Honor Holly 3,Huawei,2016/07,"Android 6.0 ""Marshmallow""",[141]
Honor 6X,Huawei,2016/10,"Android 6.0 ""Marshmallow""",[142]
Honor Magic,Huawei,2016/12,"Android 6.0 ""Marshmallow""",[143]
Honor 8 Pro,Huawei,2017/04,"Android 7.0 ""Nougat""",[144]
Honor 6A,Huawei,2017/05,"Android 7.0 ""Nougat""",[145]
Honor 9,Huawei,2017/07,"Android 7.0 ""Nougat""",[146]
Honor 6C Pro,Huawei,2017/10,"Android 7.0 ""Nougat""",[147]
Honor 7X,Huawei,2017/12,"Android 7.0 ""Nougat""",[148]
Honor V10,Huawei,2017/12,"Android 8.0 ""Oreo""",[149]
Honor 9 Lite,Huawei,2017/12,"Android 8.0 ""Oreo""",[150]
Honor 7A,Huawei,2018/04,"Android 8.0 ""Oreo""",[151]
Honor 7C,Huawei,2018/05,"Android 8.0 ""Oreo""",[152]
Honor 10,Huawei,2018/05,"Android 8.0 ""Oreo""",[153]
Honor 7S,Huawei,2018/05,"Android 8.0 ""Oreo""",[154]
Honor 9N,Huawei,2018/07,"Android 8.0 ""Oreo""",[155]
Honor Play,Huawei,2018/08,"Android 8.0 ""Oreo""",[156]
Honor Note 10,Huawei,2018/08,"Android 8.0 ""Oreo""",[157]
Honor 8X/Max,Huawei,2018/09,"Android 8.0 ""Oreo""",[158][159]
Honor 8C,Huawei,2018/10,"Android 8.0 ""Oreo""",[160]
Honor Magic 2/3D,Huawei,2018/08,"Android 9.0 ""Pie""",[161][162]
Honor 10 Lite,Huawei,2018/11,"Android 9.0 ""Pie""",[163]
Honor V20,Huawei,2018/12,"Android 9.0 ""Pie""",[164]
Honor Play 8A,Huawei,2019/01,"Android 9.0 ""Pie""",[165]
Honor 8A Pro,Huawei,2019/04,"Android 9.0 ""Pie""",[166]
Honor 20 lite,Huawei,2019/05,"Android 9.0 ""Pie""",[167]
Honor 20i,Huawei,2019/05,"Android 9.0 ""Pie""",[168]
Honor 20,Huawei,2019/06,"Android 9.0 ""Pie""",[169]
Honor 20 Pro,Huawei,2019/07,"Android 9.0 ""Pie""",[170]
Honor 9X (China),Huawei,2019/07,"Android 9.0 ""Pie""",[171]
Honor 9X Pro,Huawei,2019/07,"Android 9.0 ""Pie""",[172]
Honor Play 3/3e,Huawei,2019/09,"Android 9.0 ""Pie""",[173][174]
Honor 20S,Huawei,2019/09,"Android 9.0 ""Pie""",[175]
Honor 20 lite (China),Huawei,2019/10,"Android 9.0 ""Pie""",[176]
Honor 9X,Huawei,2019/10,"Android 9.0 ""Pie""",[177]
Honor V30/30 Pro,Huawei,2019/11,Android 10,[178][179]
Honor 8A Prime,Huawei,2020/03,Android 10,[180]
Honor Play 9A,Huawei,2020/03,Android 10,[181]
Honor 30S,Huawei,2020/03,Android 10,[182]
Honor Play 4T/4T Pro,Huawei,2020/04,Android 10,[183][184]
Honor 8A 2020,Huawei,2020/04,Android 10,[185]
Honor 20e,Huawei,2020/04,Android 10,[186]
Honor 30/30 Pro/30 Pro+,Huawei,2020/04,Android 10,[187][188][189]
Honor 9X Lite,Huawei,2020/04,Android 10,[190]
Honor 9C/9S/9A,Huawei,2020/04,Android 10,[191][192][193]
Honor X10,Huawei,2020/05,Android 10,[194]
Honor 8S 2020,Huawei,2020/05,Android 10,[195]
Honor Play4/4 Pro,Huawei,2020/06,Android 10,[196][197]
Honor 30 Lite,Huawei,2020/07,Android 10,[198]
Honor X10 Max,Huawei,2020/07,Android 10,[199]
Honor 30i,Huawei,2020/09,Android 10,[200]
